Clause,Term,Opinion,Category,Category Score,Polarity,Polarity Score,Original Sentence
inadequate security,security,inadequate,Amenity,0.8801271319389343,Negative,0.9997,"disorganized reservation process, slow guest responses, and inadequate security"
poor reservation handling,reservation,poor,Amenity,0.4935010075569153,Negative,0.9996,"poor reservation handling, lacking customer experience, and inadequate guest management"
lacking customer experience,customer experience,lacking,Facility,0.6770949363708496,Negative,0.9998,"poor reservation handling, lacking customer experience, and inadequate guest management"
inadequate guest management,guest management,inadequate,Service,0.7206866145133972,Negative,0.9998,"poor reservation handling, lacking customer experience, and inadequate guest management"
disorganized reservation process,reservation process,disorganized,Facility,0.7951149344444275,Negative,0.9979,"disorganized reservation process, insufficient guest management, and weak security management"
insufficient guest management,guest management,insufficient,Service,0.6546506285667419,Negative,0.9997,"disorganized reservation process, insufficient guest management, and weak security management"
weak security management,security management,weak,Amenity,0.5601463913917542,Negative,0.9998,"disorganized reservation process, insufficient guest management, and weak security management"
confusing reservation system,reservation system,confusing,Facility,0.8437780737876892,Negative,0.9986,"confusing reservation system, poor customer experience, and inadequate security management"
poor customer experience,customer experience,poor,Facility,0.5699665546417236,Negative,0.9998,"confusing reservation system, poor customer experience, and inadequate security management"
inadequate security management,security management,"inadequate, inadequate",Service,0.5438646674156189,Negative,0.9998,"confusing reservation system, poor customer experience, and inadequate security management"
ineffective reservation handling,reservation,"ineffective, subpar",Facility,0.6374362707138062,Negative,0.9997,"ineffective reservation handling, subpar guest management, and outdated security management"
subpar guest management,guest,,Amenity,0.8813289403915405,Positive,0.937,"ineffective reservation handling, subpar guest management, and outdated security management"
outdated security management,security,outdated,Facility,0.6880818605422974,Negative,0.9998,"ineffective reservation handling, subpar guest management, and outdated security management"
inefficient reservation process,reservation process,,Branding,0.4575136601924896,Negative,0.985,"inefficient reservation process, poor customer experience, and weak guest management"
poor customer experience,customer experience,poor,Facility,0.5699672698974609,Negative,0.9998,"inefficient reservation process, poor customer experience, and weak guest management"
weak guest management,guest management,weak,Amenity,0.8412147760391235,Negative,0.9998,"inefficient reservation process, poor customer experience, and weak guest management"
confusing reservation system,reservation system,confusing,Facility,0.8437780737876892,Negative,0.9986,"confusing reservation system, inadequate guest management, and poor security management"
inadequate guest management,guest management,inadequate,Service,0.7206866145133972,Negative,0.9998,"confusing reservation system, inadequate guest management, and poor security management"
poor security management,security management,"poor, poor",Amenity,0.8769521117210388,Negative,0.9998,"confusing reservation system, inadequate guest management, and poor security management"
disorganized reservation system,reservation system,disorganized,Facility,0.8107094168663025,Negative,0.999,"disorganized reservation system, slow customer service, and ineffective security management"
slow customer service,customer service,slow,Amenity,0.41909998655319214,Negative,0.9998,"disorganized reservation system, slow customer service, and ineffective security management"
ineffective security management,security management,ineffective,Amenity,0.7431425452232361,Negative,0.9998,"disorganized reservation system, slow customer service, and ineffective security management"
unreliable reservation handling,reservation,"unreliable, poor",Amenity,0.6643580794334412,Negative,0.9995,"unreliable reservation handling, poor guest management, and inadequate security"
poor guest management,guest,,Amenity,0.674865186214447,Negative,0.9998,"unreliable reservation handling, poor guest management, and inadequate security"
inadequate security,security,inadequate,Amenity,0.880127489566803,Negative,0.9997,"unreliable reservation handling, poor guest management, and inadequate security"
inefficient reservation system,reservation system,,Branding,0.5462207794189453,Negative,0.989,"inefficient reservation system, outdated customer experience, and weak guest management"
outdated customer experience,customer experience,,Amenity,0.5178788304328918,Negative,0.9998,"inefficient reservation system, outdated customer experience, and weak guest management"
weak guest management,guest management,,Amenity,0.8412147760391235,Negative,0.9998,"inefficient reservation system, outdated customer experience, and weak guest management"
confusing reservation process,reservation,"reservation, confusing",Amenity,0.8562483191490173,Negative,0.9987,"confusing reservation process, ineffective guest management, and poor security"
ineffective guest management,guest management,"guest management, ineffective",Amenity,0.6538657546043396,Negative,0.9998,"confusing reservation process, ineffective guest management, and poor security"
poor security,security,"security, poor",Facility,0.7111823558807373,Negative,0.9997,"confusing reservation process, ineffective guest management, and poor security"
outdated reservation system,reservation system,outdated,Facility,0.8532540202140808,Negative,0.9997,"outdated reservation system, unresponsive customer service, and weak guest management"
unresponsive customer service,customer service,unresponsive,Amenity,0.7883687615394592,Negative,0.999,"outdated reservation system, unresponsive customer service, and weak guest management"
weak guest management,guest management,weak,Amenity,0.8412147760391235,Negative,0.9998,"outdated reservation system, unresponsive customer service, and weak guest management"
disorganized reservation handling,reservation,"disorganized, poor",Facility,0.8670902848243713,Negative,0.9992,"disorganized reservation handling, poor guest experience, and outdated security management"
poor guest experience,experience,,Experience,0.7514986395835876,Negative,0.9998,"disorganized reservation handling, poor guest experience, and outdated security management"
outdated security management,management,,Facility,0.6880818605422974,Negative,0.9998,"disorganized reservation handling, poor guest experience, and outdated security management"
ineffective reservation system,reservation system,ineffective,Facility,0.694818377494812,Negative,0.9997,"ineffective reservation system, inadequate guest services, and weak security measures"
inadequate guest services,guest services,inadequate,Service,0.8157544732093811,Negative,0.9997,"ineffective reservation system, inadequate guest services, and weak security measures"
weak security measures,security measures,weak,Facility,0.567747175693512,Negative,0.9997,"ineffective reservation system, inadequate guest services, and weak security measures"
unresponsive reservation system,reservation system,unresponsive,Facility,0.5882578492164612,Negative,0.9943,"unresponsive reservation system, poor guest management, and outdated security measures"
poor guest management,guest management,poor,Amenity,0.6748649477958679,Negative,0.9998,"unresponsive reservation system, poor guest management, and outdated security measures"
outdated security measures,security measures,outdated,Amenity,0.7353339791297913,Negative,0.9998,"unresponsive reservation system, poor guest management, and outdated security measures"
disorganized reservation system,reservation system,disorganized,Facility,0.8107094168663025,Negative,0.999,"disorganized reservation system, slow guest services, and ineffective security management"
slow guest services,guest services,slow,Service,0.559297502040863,Negative,0.9995,"disorganized reservation system, slow guest services, and ineffective security management"
ineffective security management,security management,ineffective,Amenity,0.7431425452232361,Negative,0.9998,"disorganized reservation system, slow guest services, and ineffective security management"
inefficient reservation handling,reservation handling,,Facility,0.5257049202919006,Negative,0.9846,"inefficient reservation handling, inadequate customer experience, and weak guest management"
inadequate customer experience,customer experience,,Amenity,0.847427248954773,Negative,0.9998,"inefficient reservation handling, inadequate customer experience, and weak guest management"
weak guest management,guest management,,Amenity,0.8412147760391235,Negative,0.9998,"inefficient reservation handling, inadequate customer experience, and weak guest management"
confusing reservation system,reservation system,,Facility,0.8437782526016235,Negative,0.9986,"confusing reservation system, insufficient guest services, and outdated security management"
insufficient guest services,guest services,,Service,0.6149019598960876,Negative,0.9997,"confusing reservation system, insufficient guest services, and outdated security management"
outdated security management,security management,,Facility,0.6880818605422974,Negative,0.9998,"confusing reservation system, insufficient guest services, and outdated security management"
unreliable reservation process,reservation,"unreliable, poor",Amenity,0.8068395853042603,Negative,0.9995,"unreliable reservation process, poor customer experience, and ineffective guest management"
poor customer experience,customer,,Facility,0.5699672698974609,Negative,0.9998,"unreliable reservation process, poor customer experience, and ineffective guest management"
and ineffective guest management,guest,ineffective,Service,0.5727878212928772,Negative,0.9998,"unreliable reservation process, poor customer experience, and ineffective guest management"
inefficient reservation system,reservation system,,Branding,0.5462207794189453,Negative,0.989,"inefficient reservation system, outdated guest management, and weak security management"
outdated guest management,guest management,,Amenity,0.7355535626411438,Negative,0.9998,"inefficient reservation system, outdated guest management, and weak security management"
weak security management,security management,,Amenity,0.5601463913917542,Negative,0.9998,"inefficient reservation system, outdated guest management, and weak security management"
confusing reservation process,reservation,"reservation, confusing",Amenity,0.8562483191490173,Negative,0.9987,"confusing reservation process, poor guest management, and outdated security"
poor guest management,guest,"guest, poor",Amenity,0.6748649477958679,Negative,0.9998,"confusing reservation process, poor guest management, and outdated security"
outdated security,security,"security, outdated",Facility,0.5537242293357849,Negative,0.9997,"confusing reservation process, poor guest management, and outdated security"
ineffective reservation handling,reservation handling,ineffective,Facility,0.6374362707138062,Negative,0.9997,"ineffective reservation handling, inadequate customer experience, and poor guest management"
inadequate customer experience,customer experience,inadequate,Amenity,0.847427248954773,Negative,0.9998,"ineffective reservation handling, inadequate customer experience, and poor guest management"
poor guest management,guest management,poor,Amenity,0.6748649477958679,Negative,0.9998,"ineffective reservation handling, inadequate customer experience, and poor guest management"
disorganized reservation system,reservation system,disorganized,Facility,0.8107094168663025,Negative,0.999,"disorganized reservation system, insufficient customer experience, and weak security management"
insufficient customer experience,customer experience,insufficient,Amenity,0.7649357914924622,Negative,0.9997,"disorganized reservation system, insufficient customer experience, and weak security management"
weak security management,security management,weak,Amenity,0.5601463913917542,Negative,0.9998,"disorganized reservation system, insufficient customer experience, and weak security management"
unresponsive reservation system,reservation system,unresponsive,Facility,0.5882578492164612,Negative,0.9943,"unresponsive reservation system, poor guest management, and inadequate security"
poor guest management,guest management,poor,Amenity,0.6748649477958679,Negative,0.9998,"unresponsive reservation system, poor guest management, and inadequate security"
inadequate security,security,inadequate,Amenity,0.8801271319389343,Negative,0.9997,"unresponsive reservation system, poor guest management, and inadequate security"
confusing reservation system,reservation system,confusing,Facility,0.8437782526016235,Negative,0.9986,"confusing reservation system, outdated guest management, and poor security"
outdated guest management,guest management,outdated,Amenity,0.7355535626411438,Negative,0.9998,"confusing reservation system, outdated guest management, and poor security"
poor security,security,poor,Facility,0.7111823558807373,Negative,0.9997,"confusing reservation system, outdated guest management, and poor security"
inefficient reservation handling,reservation,,Facility,0.5257049202919006,Negative,0.9846,"inefficient reservation handling, weak customer service, and ineffective guest management"
weak customer service,customer,,Amenity,0.7434194684028625,Negative,0.9998,"inefficient reservation handling, weak customer service, and ineffective guest management"
ineffective guest management,guest,,Amenity,0.6538657546043396,Negative,0.9998,"inefficient reservation handling, weak customer service, and ineffective guest management"
unreliable reservation system,reservation system,"unreliable, poor",Facility,0.8371801376342773,Negative,0.9994,"unreliable reservation system, poor customer experience, and inadequate security management"
poor customer experience,customer experience,,Facility,0.5699665546417236,Negative,0.9998,"unreliable reservation system, poor customer experience, and inadequate security management"
inadequate security management,security management,inadequate,Service,0.5438646674156189,Negative,0.9998,"unreliable reservation system, poor customer experience, and inadequate security management"
disorganized reservation system,reservation system,disorganized,Facility,0.8107094168663025,Negative,0.999,"disorganized reservation system, slow guest services, and weak security management"
slow guest services,guest services,slow,Service,0.559297502040863,Negative,0.9995,"disorganized reservation system, slow guest services, and weak security management"
weak security management,security management,weak,Amenity,0.5601463913917542,Negative,0.9998,"disorganized reservation system, slow guest services, and weak security management"
ineffective reservation process,reservation,"ineffective, poor",Amenity,0.48942801356315613,Negative,0.9997,"ineffective reservation process, poor guest management, and outdated security measures"
poor guest management,guest,,Amenity,0.6748649477958679,Negative,0.9998,"ineffective reservation process, poor guest management, and outdated security measures"
outdated security measures,security,outdated,Amenity,0.7353339791297913,Negative,0.9998,"ineffective reservation process, poor guest management, and outdated security measures"
confusing reservation handling,reservation,"reservation, confusing",Amenity,0.5120734572410583,Negative,0.9981,"confusing reservation handling, inadequate customer experience, and poor security management"
inadequate customer experience,customer,"customer, inadequate",Amenity,0.8474283218383789,Negative,0.9998,"confusing reservation handling, inadequate customer experience, and poor security management"
poor security management,security,"security, poor",Amenity,0.8769521117210388,Negative,0.9998,"confusing reservation handling, inadequate customer experience, and poor security management"
outdated reservation system,reservation system,outdated,Facility,0.8532540202140808,Negative,0.9997,"outdated reservation system, unresponsive guest services, and ineffective security management"
unresponsive guest services,guest services,unresponsive,Service,0.737083375453949,Negative,0.9886,"outdated reservation system, unresponsive guest services, and ineffective security management"
ineffective security management,security management,ineffective,Amenity,0.7431425452232361,Negative,0.9998,"outdated reservation system, unresponsive guest services, and ineffective security management"
inefficient reservation handling,reservation handling,,Facility,0.5257049202919006,Negative,0.9846,"inefficient reservation handling, weak guest management, and outdated security"
weak guest management,guest management,,Amenity,0.8412147760391235,Negative,0.9998,"inefficient reservation handling, weak guest management, and outdated security"
outdated security,security,,Facility,0.5537242293357849,Negative,0.9997,"inefficient reservation handling, weak guest management, and outdated security"
disorganized reservation system,reservation system,"disorganized, ineffective",Facility,0.8107094168663025,Negative,0.999,"disorganized reservation system, ineffective guest services, and poor security management"
ineffective guest services,guest services,,Service,0.5911454558372498,Negative,0.9996,"disorganized reservation system, ineffective guest services, and poor security management"
poor security management,security management,poor,Amenity,0.8769519329071045,Negative,0.9998,"disorganized reservation system, ineffective guest services, and poor security management"
unreliable reservation system,reservation system,"unreliable, inadequate",Facility,0.8371801376342773,Negative,0.9994,"unreliable reservation system, inadequate customer service, and weak guest management"
inadequate customer service,customer service,,Amenity,0.5693312883377075,Negative,0.9998,"unreliable reservation system, inadequate customer service, and weak guest management"
weak guest management,guest management,weak,Amenity,0.8412154316902161,Negative,0.9998,"unreliable reservation system, inadequate customer service, and weak guest management"
confusing reservation system,reservation system,confusing,Facility,0.8437780737876892,Negative,0.9986,"confusing reservation system, poor guest services, and inadequate security management"
poor guest services,guest services,poor,Service,0.9428560137748718,Negative,0.9998,"confusing reservation system, poor guest services, and inadequate security management"
inadequate security management,security management,"inadequate, inadequate",Service,0.5438646674156189,Negative,0.9998,"confusing reservation system, poor guest services, and inadequate security management"
ineffective reservation system,reservation system,"ineffective, outdated",Facility,0.694818377494812,Negative,0.9997,"ineffective reservation system, outdated customer experience, and weak guest management"
outdated customer experience,customer experience,outdated,Amenity,0.5178788304328918,Negative,0.9998,"ineffective reservation system, outdated customer experience, and weak guest management"
weak guest management,guest management,weak,Amenity,0.8412147760391235,Negative,0.9998,"ineffective reservation system, outdated customer experience, and weak guest management"
disorganized reservation handling,reservation handling,"disorganized, inadequate",Facility,0.8670902848243713,Negative,0.9992,"disorganized reservation handling, inadequate customer service, and poor guest management"
inadequate customer service,customer service,inadequate,Amenity,0.569327175617218,Negative,0.9998,"disorganized reservation handling, inadequate customer service, and poor guest management"
poor guest management,guest management,poor,Amenity,0.6748649477958679,Negative,0.9998,"disorganized reservation handling, inadequate customer service, and poor guest management"
unresponsive reservation system,reservation system,unresponsive,Facility,0.5882578492164612,Negative,0.9943,"unresponsive reservation system, ineffective customer experience, and weak guest management"
ineffective customer experience,customer experience,ineffective,Facility,0.627997100353241,Negative,0.9998,"unresponsive reservation system, ineffective customer experience, and weak guest management"
weak guest management,guest management,weak,Amenity,0.8412147760391235,Negative,0.9998,"unresponsive reservation system, ineffective customer experience, and weak guest management"
inefficient reservation system,reservation system,,Branding,0.5462207794189453,Negative,0.989,"inefficient reservation system, poor guest services, and inadequate security management"
poor guest services,guest services,,Service,0.9428558349609375,Negative,0.9998,"inefficient reservation system, poor guest services, and inadequate security management"
inadequate security management,security management,,Service,0.5438631176948547,Negative,0.9998,"inefficient reservation system, poor guest services, and inadequate security management"
confusing reservation system,reservation system,confusing,Facility,0.8437782526016235,Negative,0.9986,"confusing reservation system, outdated guest services, and weak security management"
outdated guest services,guest services,outdated,Service,0.6175631880760193,Negative,0.9997,"confusing reservation system, outdated guest services, and weak security management"
weak security management,security management,weak,Amenity,0.5601463913917542,Negative,0.9998,"confusing reservation system, outdated guest services, and weak security management"
ineffective reservation process,reservation,"ineffective, poor",Amenity,0.48942801356315613,Negative,0.9997,"ineffective reservation process, poor guest services, and outdated security"
poor guest services,service,,Service,0.9428558349609375,Negative,0.9998,"ineffective reservation process, poor guest services, and outdated security"
outdated security,security,,Facility,0.5537242293357849,Negative,0.9997,"ineffective reservation process, poor guest services, and outdated security"
unreliable reservation system,reservation system,"unreliable, inadequate",Facility,0.8371801376342773,Negative,0.9994,"unreliable reservation system, inadequate customer experience, and poor guest management"
inadequate customer experience,customer experience,,Amenity,0.8474283218383789,Negative,0.9998,"unreliable reservation system, inadequate customer experience, and poor guest management"
poor guest management,guest management,poor,Amenity,0.674865186214447,Negative,0.9998,"unreliable reservation system, inadequate customer experience, and poor guest management"
disorganized reservation system,reservation system,disorganized,Facility,0.8107094168663025,Negative,0.999,"disorganized reservation system, weak customer service, and ineffective guest management"
weak customer service,customer service,weak,Amenity,0.7434194684028625,Negative,0.9998,"disorganized reservation system, weak customer service, and ineffective guest management"
ineffective guest management,guest management,ineffective,Amenity,0.6538657546043396,Negative,0.9998,"disorganized reservation system, weak customer service, and ineffective guest management"
inefficient reservation handling,reservation handling,,Facility,0.5257049202919006,Negative,0.9846,"inefficient reservation handling, outdated guest services, and poor security management"
outdated guest services,guest services,,Service,0.6175631880760193,Negative,0.9997,"inefficient reservation handling, outdated guest services, and poor security management"
poor security management,security management,,Amenity,0.8769519329071045,Negative,0.9998,"inefficient reservation handling, outdated guest services, and poor security management"
confusing reservation process,reservation,"reservation, confusing",Amenity,0.8562483191490173,Negative,0.9987,"confusing reservation process, weak customer experience, and outdated guest management"
weak customer experience,customer,"customer, weak",Amenity,0.5844014883041382,Negative,0.9998,"confusing reservation process, weak customer experience, and outdated guest management"
outdated guest management,management,"management, outdated",Amenity,0.7355535626411438,Negative,0.9998,"confusing reservation process, weak customer experience, and outdated guest management"
unreliable reservation system,reservation system,unreliable,Facility,0.8371792435646057,Negative,0.9994,"unreliable reservation system, inadequate customer service, and ineffective security management"
inadequate customer service,customer service,inadequate,Amenity,0.569327175617218,Negative,0.9998,"unreliable reservation system, inadequate customer service, and ineffective security management"
and ineffective security management,security management,ineffective,Service,0.557836651802063,Negative,0.9998,"unreliable reservation system, inadequate customer service, and ineffective security management"
inefficient reservation handling,reservation,"reservation, inefficient",Facility,0.5257049202919006,Negative,0.9846,"inefficient reservation handling, poor guest services, and outdated security"
poor guest services,service,poor,Service,0.9428558349609375,Negative,0.9998,"inefficient reservation handling, poor guest services, and outdated security"
outdated security,security,"security, outdated",Facility,0.5537242293357849,Negative,0.9997,"inefficient reservation handling, poor guest services, and outdated security"
disorganized reservation system,reservation system,"disorganized, weak",Facility,0.8107094168663025,Negative,0.999,"disorganized reservation system, weak guest management, and inadequate customer service"
weak guest management,guest management,,Amenity,0.8412147760391235,Negative,0.9998,"disorganized reservation system, weak guest management, and inadequate customer service"
inadequate customer service,customer service,inadequate,Amenity,0.569327175617218,Negative,0.9998,"disorganized reservation system, weak guest management, and inadequate customer service"
ineffective reservation process,reservation,"ineffective, poor",Amenity,0.48942801356315613,Negative,0.9997,"ineffective reservation process, poor customer service, and outdated guest management"
poor customer service,customer,,Service,0.7573398947715759,Negative,0.9998,"ineffective reservation process, poor customer service, and outdated guest management"
outdated guest management,management,,Amenity,0.7355535626411438,Negative,0.9998,"ineffective reservation process, poor customer service, and outdated guest management"
unreliable reservation system,reservation system,"unreliable, weak",Facility,0.8371792435646057,Negative,0.9994,"unreliable reservation system, weak guest services, and ineffective customer management"
weak guest services,guest services,,Service,0.6437370777130127,Negative,0.9997,"unreliable reservation system, weak guest services, and ineffective customer management"
and ineffective customer management,customer management,ineffective,Service,0.6465457677841187,Negative,0.9998,"unreliable reservation system, weak guest services, and ineffective customer management"
disorganized reservation handling,reservation handling,"disorganized, outdated",Facility,0.8670902848243713,Negative,0.9992,"disorganized reservation handling, outdated guest services, and ineffective security management"
outdated guest services,guest services,outdated,Service,0.6175631880760193,Negative,0.9997,"disorganized reservation handling, outdated guest services, and ineffective security management"
ineffective security management,security management,ineffective,Amenity,0.7431425452232361,Negative,0.9998,"disorganized reservation handling, outdated guest services, and ineffective security management"
confusing reservation system,reservation system,confusing,Facility,0.8437782526016235,Negative,0.9986,"confusing reservation system, poor customer service, and outdated guest management"
poor customer service,customer service,poor,Service,0.7573398947715759,Negative,0.9998,"confusing reservation system, poor customer service, and outdated guest management"
outdated guest management,guest management,outdated,Amenity,0.7355535626411438,Negative,0.9998,"confusing reservation system, poor customer service, and outdated guest management"
ineffective reservation process,reservation process,,Amenity,0.48942801356315613,Negative,0.9997,"ineffective reservation process, weak guest management, and poor customer service"
weak guest management,guest management,,Amenity,0.8412147760391235,Negative,0.9998,"ineffective reservation process, weak guest management, and poor customer service"
poor customer service,customer service,,Service,0.7573398947715759,Negative,0.9998,"ineffective reservation process, weak guest management, and poor customer service"
unresponsive reservation system,reservation system,unresponsive,Facility,0.5882578492164612,Negative,0.9943,"unresponsive reservation system, outdated guest services, and ineffective security management"
outdated guest services,guest services,outdated,Service,0.6175631880760193,Negative,0.9997,"unresponsive reservation system, outdated guest services, and ineffective security management"
ineffective security management,security management,ineffective,Amenity,0.7431425452232361,Negative,0.9998,"unresponsive reservation system, outdated guest services, and ineffective security management"
disorganized reservation system,reservation system,disorganized,Facility,0.8107094168663025,Negative,0.999,"disorganized reservation system, ineffective customer management, and poor guest services"
ineffective customer management,customer management,ineffective,Amenity,0.8423485159873962,Negative,0.9998,"disorganized reservation system, ineffective customer management, and poor guest services"
poor guest services,guest services,poor,Service,0.9428558349609375,Negative,0.9998,"disorganized reservation system, ineffective customer management, and poor guest services"
unreliable reservation system,reservation system,"unreliable, weak",Facility,0.8371792435646057,Negative,0.9994,"unreliable reservation system, weak guest management, and outdated customer service"
weak guest management,guest management,,Amenity,0.8412147760391235,Negative,0.9998,"unreliable reservation system, weak guest management, and outdated customer service"
outdated customer service,customer service,outdated,Service,0.6736295819282532,Negative,0.9998,"unreliable reservation system, weak guest management, and outdated customer service"
ineffective reservation process,reservation,"ineffective, poor",Amenity,0.48942801356315613,Negative,0.9997,"ineffective reservation process, poor security management, and weak customer service"
poor security management,security,poor,Amenity,0.8769519329071045,Negative,0.9998,"ineffective reservation process, poor security management, and weak customer service"
weak customer service,customer,weak,Amenity,0.7434194684028625,Negative,0.9998,"ineffective reservation process, poor security management, and weak customer service"
confusing reservation system,reservation system,confusing,Facility,0.8437782526016235,Negative,0.9986,"confusing reservation system, outdated customer experience, and weak guest management"
outdated customer experience,customer experience,outdated,Amenity,0.5178788304328918,Negative,0.9998,"confusing reservation system, outdated customer experience, and weak guest management"
weak guest management,guest management,"weak, weak",Amenity,0.8412147760391235,Negative,0.9998,"confusing reservation system, outdated customer experience, and weak guest management"
unresponsive reservation system,reservation system,unresponsive,Facility,0.5882578492164612,Negative,0.9943,"unresponsive reservation system, poor guest management, and outdated security"
poor guest management,guest management,poor,Amenity,0.6748649477958679,Negative,0.9998,"unresponsive reservation system, poor guest management, and outdated security"
outdated security,security,outdated,Facility,0.5537242293357849,Negative,0.9997,"unresponsive reservation system, poor guest management, and outdated security"
inefficient reservation system,reservation system,,Branding,0.5462207794189453,Negative,0.989,"inefficient reservation system, outdated guest services, and poor customer management"
outdated guest services,guest services,,Service,0.6175631880760193,Negative,0.9997,"inefficient reservation system, outdated guest services, and poor customer management"
poor customer management,customer management,,Amenity,0.8592942953109741,Negative,0.9998,"inefficient reservation system, outdated guest services, and poor customer management"
confusing reservation process,reservation,"reservation, confusing",Amenity,0.8562483191490173,Negative,0.9987,"confusing reservation process, ineffective guest management, and outdated customer service"
ineffective guest management,guest,"guest, ineffective",Amenity,0.6538657546043396,Negative,0.9998,"confusing reservation process, ineffective guest management, and outdated customer service"
outdated customer service,customer,"customer, outdated",Service,0.6736295819282532,Negative,0.9998,"confusing reservation process, ineffective guest management, and outdated customer service"
disorganized reservation system,reservation system,"disorganized, poor",Facility,0.8107094168663025,Negative,0.999,"disorganized reservation system, poor customer service, and inadequate security management"
poor customer service,customer service,poor,Service,0.7573398947715759,Negative,0.9998,"disorganized reservation system, poor customer service, and inadequate security management"
inadequate security management,security management,inadequate,Service,0.5438631176948547,Negative,0.9998,"disorganized reservation system, poor customer service, and inadequate security management"
ineffective reservation system,reservation system,,Facility,0.694818377494812,Negative,0.9997,"ineffective reservation system, outdated guest management, and weak customer experience"
outdated guest management,guest management,,Amenity,0.7355535626411438,Negative,0.9998,"ineffective reservation system, outdated guest management, and weak customer experience"
weak customer experience,customer experience,,Amenity,0.5844014883041382,Negative,0.9998,"ineffective reservation system, outdated guest management, and weak customer experience"
unresponsive reservation system,reservation system,unresponsive,Facility,0.5882578492164612,Negative,0.9943,"unresponsive reservation system, poor guest services, and ineffective security management"
poor guest services,guest services,poor,Service,0.9428558349609375,Negative,0.9998,"unresponsive reservation system, poor guest services, and ineffective security management"
and ineffective security management,security management,ineffective,Service,0.557836651802063,Negative,0.9998,"unresponsive reservation system, poor guest services, and ineffective security management"
confusing reservation process,reservation,"reservation, confusing",Amenity,0.8562483191490173,Negative,0.9987,"confusing reservation process, weak customer service, and outdated guest management"
weak customer service,customer service,"customer service, weak",Amenity,0.7434194684028625,Negative,0.9998,"confusing reservation process, weak customer service, and outdated guest management"
outdated guest management,guest management,"guest management, outdated",Amenity,0.7355535626411438,Negative,0.9998,"confusing reservation process, weak customer service, and outdated guest management"
inefficient reservation handling,reservation handling,,Facility,0.5257049202919006,Negative,0.9846,"inefficient reservation handling, poor customer experience, and weak guest management"
poor customer experience,customer experience,,Facility,0.5699672698974609,Negative,0.9998,"inefficient reservation handling, poor customer experience, and weak guest management"
weak guest management,guest management,,Amenity,0.8412147760391235,Negative,0.9998,"inefficient reservation handling, poor customer experience, and weak guest management"
disorganized reservation system,reservation system,"disorganized, outdated",Facility,0.8107094168663025,Negative,0.999,"disorganized reservation system, outdated guest services, and ineffective security management"
outdated guest services,guest services,outdated,Service,0.6175631880760193,Negative,0.9997,"disorganized reservation system, outdated guest services, and ineffective security management"
ineffective security management,security management,ineffective,Amenity,0.7431425452232361,Negative,0.9998,"disorganized reservation system, outdated guest services, and ineffective security management"
unreliable reservation system,reservation system,"unreliable, weak",Facility,0.8371801376342773,Negative,0.9994,"unreliable reservation system, weak customer service, and poor guest management"
weak customer service,customer service,,Amenity,0.7434194087982178,Negative,0.9998,"unreliable reservation system, weak customer service, and poor guest management"
poor guest management,guest management,poor,Amenity,0.674865186214447,Negative,0.9998,"unreliable reservation system, weak customer service, and poor guest management"
ineffective reservation process,reservation,"ineffective, outdated",Amenity,0.48942801356315613,Negative,0.9997,"ineffective reservation process, outdated security management, and poor guest services"
outdated security management,security,outdated,Facility,0.6880818605422974,Negative,0.9998,"ineffective reservation process, outdated security management, and poor guest services"
poor guest services,service,poor,Service,0.9428558349609375,Negative,0.9998,"ineffective reservation process, outdated security management, and poor guest services"
confusing reservation system,reservation system,confusing,Facility,0.8437782526016235,Negative,0.9986,"confusing reservation system, ineffective customer management, and weak guest services"
ineffective customer management,customer management,ineffective,Amenity,0.8423485159873962,Negative,0.9998,"confusing reservation system, ineffective customer management, and weak guest services"
weak guest services,guest services,"weak, weak",Service,0.6437370777130127,Negative,0.9997,"confusing reservation system, ineffective customer management, and weak guest services"
unresponsive reservation system,reservation system,unresponsive,Facility,0.5882578492164612,Negative,0.9943,"unresponsive reservation system, poor guest management, and outdated customer experience"
poor guest management,guest management,poor,Amenity,0.6748649477958679,Negative,0.9998,"unresponsive reservation system, poor guest management, and outdated customer experience"
outdated customer experience,customer experience,outdated,Amenity,0.5178788304328918,Negative,0.9998,"unresponsive reservation system, poor guest management, and outdated customer experience"
inefficient reservation system,reservation system,,Branding,0.5462207794189453,Negative,0.989,"inefficient reservation system, weak customer service, and poor security management"
weak customer service,customer service,,Amenity,0.7434194684028625,Negative,0.9998,"inefficient reservation system, weak customer service, and poor security management"
poor security management,security management,,Amenity,0.8769519329071045,Negative,0.9998,"inefficient reservation system, weak customer service, and poor security management"
disorganized reservation handling,reservation handling,"disorganized, outdated",Facility,0.8670902848243713,Negative,0.9992,"disorganized reservation handling, outdated guest services, and ineffective customer management"
outdated guest services,guest services,outdated,Service,0.6175631880760193,Negative,0.9997,"disorganized reservation handling, outdated guest services, and ineffective customer management"
ineffective customer management,customer management,ineffective,Amenity,0.8423485159873962,Negative,0.9998,"disorganized reservation handling, outdated guest services, and ineffective customer management"
unreliable reservation system,reservation system,"unreliable, weak",Facility,0.8371792435646057,Negative,0.9994,"unreliable reservation system, weak guest management, and outdated security management"
weak guest management,guest management,,Amenity,0.8412147760391235,Negative,0.9998,"unreliable reservation system, weak guest management, and outdated security management"
outdated security management,security management,outdated,Facility,0.6880818605422974,Negative,0.9998,"unreliable reservation system, weak guest management, and outdated security management"
